"#blast_taxonomy","blast_subject","blast_perc_identity","blast_perc_query_coverage","blast_evalue","blast_aln_length","seed_id","observation_name","observation_sum","NG-10214_EN10A_lib136338_4869_1","NG-10214_EN10B_lib136339_4869_1","NG-10214_EN11A_lib136340_4869_1","NG-10214_EN11B_lib136341_4869_1","NG-10214_EN15A_lib136342_4869_1","NG-10214_EN15B_lib136343_4869_1","NG-10214_EN16A_lib136344_4869_1","NG-10214_EN16B_lib136345_4869_1","NG-10214_EN17A_lib136346_4869_1","NG-10214_EN17B_lib136347_4869_1","NG-10214_EN18A_lib136348_4869_1","NG-10214_EN18B_lib136349_4869_1","NG-10214_EN19A_lib136350_4869_1","NG-10214_EN19B_lib136351_4869_1","NG-10214_EN1A_lib136326_4869_1","NG-10214_EN1B_lib136327_4869_1","NG-10214_EN20A_lib136352_4869_1","NG-10214_EN20B_lib136353_4869_1","NG-10214_EN21A_lib136354_4869_1","NG-10214_EN21B_lib136355_4869_1","NG-10214_EN23A_lib136356_4869_1","NG-10214_EN23B_lib136357_4869_1","NG-10214_EN24A_lib136358_4869_1","NG-10214_EN24B_lib136359_4869_1","NG-10214_EN25A_lib136360_4869_1","NG-10214_EN25B_lib136361_4869_1","NG-10214_EN26A_lib136362_4869_1","NG-10214_EN26B_lib136363_4869_1","NG-10214_EN28A_lib136364_4869_1","NG-10214_EN28B_lib136365_4869_1","NG-10214_EN30A_lib136368_4869_1","NG-10214_EN30B_lib136369_4869_1","NG-10214_EN31A_lib136370_4869_1","NG-10214_EN31B_lib136371_4869_1","NG-10214_EN3A_lib136328_4869_1","NG-10214_EN3B_lib136329_4869_1","NG-10214_EN4A_lib136330_4869_1","NG-10214_EN4B_lib136331_4869_1","NG-10214_EN6A_lib136332_4869_1","NG-10214_EN6B_lib136333_4869_1","NG-10214_EN7A_lib136334_4869_1","NG-10214_EN7B_lib136335_4869_1","NG-10214_EN9A_lib136336_4869_1","NG-10214_EN9B_lib136337_4869_1","NG-10214_LBA10A_lib136292_4869_1","NG-10214_LBA10B_lib136293_4869_1","NG-10214_LBA11A_lib136294_4869_1","NG-10214_LBA11B_lib136295_4869_1","NG-10214_LBA15A_lib136296_4869_1","NG-10214_LBA15B_lib136297_4869_1","NG-10214_LBA16A_lib136298_4869_1","NG-10214_LBA16B_lib136299_4869_1","NG-10214_LBA17A_lib136300_4869_1","NG-10214_LBA17B_lib136301_4869_1","NG-10214_LBA18A_lib136302_4869_1","NG-10214_LBA18B_lib136303_4869_1","NG-10214_LBA19A_lib136304_4869_1","NG-10214_LBA19B_lib136305_4869_1","NG-10214_LBA1A_lib136280_4869_1","NG-10214_LBA1B_lib136281_4869_1","NG-10214_LBA20A_lib136306_4869_1","NG-10214_LBA20B_lib136307_4869_1","NG-10214_LBA21A_lib136308_4869_1","NG-10214_LBA21B_lib136309_4869_1","NG-10214_LBA23A_lib136310_4869_1","NG-10214_LBA23B_lib136311_4869_1","NG-10214_LBA24A_lib136312_4869_1","NG-10214_LBA24B_lib136313_4869_1","NG-10214_LBA25A_lib136314_4869_1","NG-10214_LBA25B_lib136315_4869_1","NG-10214_LBA26A_lib136316_4869_1","NG-10214_LBA26B_lib136317_4869_1","NG-10214_LBA28A_lib136318_4869_1","NG-10214_LBA28B_lib136319_4869_1","NG-10214_LBA29A_lib136320_4869_1","NG-10214_LBA29B_lib136321_4869_1","NG-10214_LBA30A_lib136322_4869_1","NG-10214_LBA30B_lib136323_4869_1","NG-10214_LBA31A_lib136324_4869_1","NG-10214_LBA31B_lib136325_4869_1","NG-10214_LBA3A_lib136282_4869_1","NG-10214_LBA3B_lib136283_4869_1","NG-10214_LBA4A_lib136284_4869_1","NG-10214_LBA4B_lib136285_4869_1","NG-10214_LBA6A_lib136286_4869_1","NG-10214_LBA6B_lib136287_4869_1","NG-10214_LBA7A_lib136288_4869_1","NG-10214_LBA7B_lib136289_4869_1","NG-10214_LBA9A_lib136290_4869_1","NG-10214_LBA9B_lib136291_4869_1"
"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Brevibacteriaceae;Brevibacterium;unknown species","FJ672800.1.1385","100.0","100.0","0.0",468,"HISEQ:502:H37M3BCXY:1:1101:7213:27683","Cluster_167",1220,39,0,6,15,7,9,26,16,39,8,0,0,112,178,6,1,35,1,0,12,46,20,62,73,7,0,0,0,66,44,102,36,17,132,3,3,36,35,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,9,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes;unknown species","FJ671733.1.1408","100.0","100.0","0.0",498,"HISEQ:502:H37M3BCXY:1:1102:3523:13330","Cluster_166",1089,18,0,1,2,70,28,52,54,38,74,27,27,0,11,9,9,32,60,14,15,1,0,1,2,0,0,12,7,42,29,0,11,3,17,2,0,28,45,35,30,23,15,91,80,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter nicotianae","JN084028.1.1439","99.36","100.0","0.0",466,"HISEQ:502:H37M3BCXY:1:1104:3120:69183","Cluster_165",1372,9,14,0,1,0,27,39,32,0,0,0,0,27,87,58,46,68,79,21,8,19,3,20,7,11,4,0,0,23,39,135,86,0,0,17,18,3,1,0,0,2,2,0,0,25,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,67,244,55,57,0,0,0,0,1,0,0,0,0,0,0,0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Porphyromonas levii","AB547664.1.1495","100.0","100.0","0.0",490,"HISEQ:502:H37M3BCXY:1:1106:17413:92292","Cluster_164",848,15,0,0,1,3,0,6,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,1,9,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracocccus;Paracoccus alcaliphilus","D32238.1.1385","100.0","100.0","0.0",433,"HISEQ:502:H37M3BCXY:1:2216:12486:93604","Cluster_163",1343,0,0,2,2,15,16,14,31,61,21,0,0,182,84,4,6,1,2,12,45,22,13,19,43,5,1,0,0,201,147,145,41,6,45,5,8,40,43,0,0,0,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Bacteria;Actinobacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;Streptomyces sp.","AM412549.1.1363","100.0","100.0","0.0",463,"HISEQ:502:H37M3BCXY:1:2210:19475:33708","Cluster_162",942,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,1,6,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,488
"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;Dietzia sp.","DQ337508.1.1480","99.78","100.0","0.0",464,"HISEQ:502:H37M3BCXY:1:1101:3597:5279","Cluster_161",1046,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,129,203,263,185,0,0,0,0,77,167,0,0,0,0,0,0,0,0,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Citrobacter;Citrobacter sp.","GU374110.1.1384","100.0","100.0","0.0",490,"HISEQ:502:H37M3BCXY:1:1112:9673:74067","Cluster_160",1770,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,102,91,581,439,44,56,47,44,0,0,147,181,2,9,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
"Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus;unknown species","KC894580.1.1510","99.79","100.0","0.0",482,"HISEQ:502:H37M3BCXY:1:1101:4955:7117","Cluster_169",1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637,534,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,35,14,0,0,0,0
"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter;Arthrobacter sp.","AJ786777.1.1478","100.0","100.0","0.0",466,"HISEQ:502:H37M3BCXY:1:1101:9004:55568","Cluster_168",1149,25,0,2,0,0,4,0,0,96,102,10,5,30,44,6,1,0,0,9,8,16,23,109,85,4,0,0,2,37,27,44,38,0,0,0,0,6,0,4,4,55,28,10,4,0,0,0,0,10,19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,146,99,0,0,0,0,0,0,0,0,0,0,0,32
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;unknown species","JF975739.1.1495","100.0","100.0","0.0",490,"HISEQ:502:H37M3BCXY:1:1104:5105:49686","Cluster_25",17634,0,0,2,2,0,0,0,2,0,0,1,0,0,0,0,0,7,8,0,0,0,0,14,39,0,0,1,0,0,0,0,0,0,0,0,0,14,10,392,390,2,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,522,490,3870,4161,0,0,0,0,11,3,0,1,3,1,0,0,0,8,0,0,3633,4034,0,0,0,0
"Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;Mycoplasma alkalescens 14918","AMWK01000004.81337.82837","99.79","100.0","0.0",483,"HISEQ:502:H37M3BCXY:1:1108:19861:50011","Cluster_24",30859,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,227,285,0,0,0,0,85,107,6812,7032,0,0,0,5,2,0,0,0,24,0,1,1,12,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,14,0,0,0,0,0,2900,2594,0,0,0,0,5664,5055,1,16,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1
"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Myroides;Myroides odoratimimus CCUG 12700","AGZL01000034.1188.2693","100.0","100.0","0.0",480,"HISEQ:502:H37M3BCXY:1:2115:3419:80777","Cluster_27",29512,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,13,32,1659,1540,5,23,0,0,0,0,0,0,10,0,0,2,0,0,2,0,0,0,0,0,13247,12958,0,0,0,0,0,0,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;unknown species","HM276218.1.1366","100.0","100.0","0.0",490,"HISEQ:502:H37M3BCXY:1:1211:17630:83090","Cluster_26",21051,0,1,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,146,154,8,16,8072,8096,1424,1410,93,185,0,1,179,246,577,391,10,11,0,0,0,1,0,0,0,2,2,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0
"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;Stenotrophomonas maltophilia JV3","CP002986.4484519.4486051","100.0","100.0","0.0",490,"HISEQ:502:H37M3BCXY:1:1112:6731:74153","Cluster_21",44109,1,44,0,0,0,2,16,8,23,38,5,14,10,21,3,12,15,25,6,11,2,16,1,2,1,1,10,1,7,20,21,0,15,33,3,0,11,3,29,5,0,2,24,9,303,137,204,160,108,95,16,13,8605,8926,3607,3764,1134,1272,1,68,1412,1268,4520,4046,1380,1394,68,31,45,129,61,49,16,13,77,466,25,36,19,39,32,1,26,0,11,13,1,5,43,0
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia;Delftia acidovorans","JOUB01000005.1935132.1936652","100.0","100.0","0.0",482,"HISEQ:502:H37M3BCXY:1:1101:20928:21905","Cluster_20",31574,88,67,0,0,23,13,19,17,24,23,43,43,67,60,5,10,14,2,11,12,5,8,13,1,17,0,27,8,13,36,42,98,6,25,4,1,34,10,22,16,7,2,34,31,44,19,16,22,13,12,7,1,60,3,21,7,519,574,3213,2808,87,109,3825,4083,114,123,1531,1517,3080,2963,294,306,98,95,358,649,4,12,305,358,1580,1389,36,93,17,54,25,22,80,27
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unknown species","KC894565.1.1511","100.0","100.0","0.0",492,"HISEQ:502:H37M3BCXY:1:1102:7662:35148","Cluster_23",34965,0,0,1,0,0,0,0,14,32,0,3,0,0,1,2282,2229,11,0,1,0,0,0,21,14,0,0,0,0,0,4,1,10,0,0,0,0,8,0,1559,1507,5,2,0,0,0,0,0,0,0,0,0,2,0,0,26,15,0,0,54,27,0,0,0,0,1742,1665,2249,2428,0,0,0,0,0,3,0,1,3,1,0,0,3,0,1,0,9344,9696,0,0,0,0
"Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Alcaligenes;Alcaligenes sp.","DQ643040.1.1499","100.0","100.0","0.0",490,"HISEQ:502:H37M3BCXY:1:1101:3624:27307","Cluster_22",34848,0,5,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,2,4,0,0,0,2,0,0,196,144,0,0,12,1,9681,10290,0,8,6,0,13,3,0,0,0,0,0,0,1,0,6942,7492,0,0,0,2,0,0,0,21
"Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;unknown genus;unknown species","KC894538.1.1496","100.0","100.0","0.0",481,"HISEQ:502:H37M3BCXY:1:2215:5563:16147","Cluster_192",697,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,99,0,0,0,0
